video,duration_sec,gt_events,tp,fn,warning_events,false_alarm_events,safe_duration_sec,false_alarms_per_min,warning_delays_sec
test1.mp4,24.542,0,0,0,4,4,24.542,9.779,
test2.mp4,9.708,0,0,0,2,2,9.708,12.361,
test3.mp4,12.42,1,1,0,7,0,0.54,0.0,0.002
test4.mp4,9.88,1,1,0,3,1,6.14,9.772,0.215
test5.mp4,19.04,1,1,0,12,6,9.67,37.229,0.041
test_receding.mp4,25.75,1,1,0,6,1,16.39,3.661,0.383
